task,model,reasoning,avg_tokens,avg_perf
Multiplication,google__gemini-2.5-pro,high,11900.902,0.6429232087515525
Multiplication,google__gemini-2.5-pro,minimal,100.942,0.43427471515534627
Multiplication,meta-llama__llama-4-maverick,none,11.472,0.3334037151572255
Multiplication,moonshotai__kimi-k2-0905,none,77.722,0.4449945853272478
Multiplication,openai__gpt-5,high,8749.138,0.9947230702301934
Multiplication,openai__gpt-5,minimal,21.186,0.309012872510914
Multiplication,openai__gpt-oss-120b,high,1820.206,0.9579901392676539
Multiplication,qwen__qwen3-235b-a22b-2507,none,21.54,0.39029676760505433
Multiplication,qwen__qwen3-235b-a22b-thinking-2507,high,5788.866,0.8795037382522111
Sorting,deepseek__deepseek-chat-v3.1,high,1214.484,0.996
Sorting,deepseek__deepseek-chat-v3.1,none,33.636,0.996
Sorting,google__gemini-2.5-flash,high,381.786,1.0
Sorting,google__gemini-2.5-flash,none,63.42,0.998
Sorting,google__gemini-2.5-pro,high,863.87,0.998
Sorting,google__gemini-2.5-pro,minimal,117.056,1.0
Sorting,meta-llama__llama-4-maverick,none,33.504,0.956
Sorting,moonshotai__kimi-k2-0905,none,32.924,0.984
Sorting,openai__gpt-5,high,669.006,0.998
Sorting,openai__gpt-5,minimal,39.112,0.984
Sorting,openai__gpt-oss-120b,high,192.692,0.99
Sorting,qwen__qwen3-235b-a22b-2507,none,63.05,0.988
Sorting,qwen__qwen3-235b-a22b-thinking-2507,high,1247.962,0.998
Std,deepseek__deepseek-chat-v3.1,high,11485.846,0.40933261867133997
Std,deepseek__deepseek-chat-v3.1,none,12.502,0.1549865020110713
Std,google__gemini-2.5-flash,high,17750.604,0.2754688142756663
Std,google__gemini-2.5-flash,none,21.806841046277665,0.13625698862282784
Std,google__gemini-2.5-pro,high,9281.424,0.298938035610795
Std,google__gemini-2.5-pro,minimal,164.692,0.1298861878091459
Std,meta-llama__llama-4-maverick,none,12.822,0.11766166700281035
Std,moonshotai__kimi-k2-0905,none,45.376,0.13584567825828678
Std,openai__gpt-5,high,19708.854,0.7439548600968765
Std,openai__gpt-5,minimal,21.478,0.16516078544661852
Std,openai__gpt-oss-120b,high,2056.172,0.46617272036418594
Std,qwen__qwen3-235b-a22b-2507,none,22.98,0.1247683576533233
Std,qwen__qwen3-235b-a22b-thinking-2507,high,8565.098,0.4884478077742224
